bbox_height,bbox_width,center_x,center_y,confidence,detector_source,event,frame_index,label,mode,source_path,timestamp,x1,x2,y1,y2
39,64,356,399,0.9384,YOLO,detection,23,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/assets/raw/video/video_001.mp4,2026-05-06T14:45:34,324,388,380,419
38,64,356,400,0.931,YOLO,detection,24,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/assets/raw/video/video_001.mp4,2026-05-06T14:45:35,324,388,381,419
39,69,360,397,0.9359,YOLO,detection,25,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/assets/raw/video/video_001.mp4,2026-05-06T14:45:35,326,395,378,417
38,68,373,398,0.9354,YOLO,detection,26,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/assets/raw/video/video_001.mp4,2026-05-06T14:45:35,339,407,379,417
37,68,378,403,0.9271,YOLO,detection,27,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/assets/raw/video/video_001.mp4,2026-05-06T14:45:35,344,412,385,422
37,66,376,408,0.9351,YOLO,detection,28,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/assets/raw/video/video_001.mp4,2026-05-06T14:45:36,343,409,390,427
38,67,369,415,0.9322,YOLO,detection,29,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/assets/raw/video/video_001.mp4,2026-05-06T14:45:36,336,403,396,434
39,68,365,422,0.9378,YOLO,detection,30,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/assets/raw/video/video_001.mp4,2026-05-06T14:45:36,331,399,403,442
39,67,364,429,0.9353,YOLO,detection,31,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/assets/raw/video/video_001.mp4,2026-05-06T14:45:37,331,398,410,449
40,67,363,436,0.9333,YOLO,detection,32,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/assets/raw/video/video_001.mp4,2026-05-06T14:45:37,330,397,416,456
41,66,359,442,0.9397,YOLO,detection,33,drone,Mode 1,C:/Users/peili/OneDrive/桌面/project/project/assets/raw/video/video_001.mp4,2026-05-06T14:45:37,326,392,422,463
